name,country,label
Albuquerque,Portuguese,4
Almeida,Portuguese,4
Alves,Portuguese,4
Araújo,Portuguese,4
Araullo,Portuguese,4
Barros,Portuguese,4
Basurto,Portuguese,4
Belo,Portuguese,4
Cabral,Portuguese,4
Campos,Portuguese,4
Cardozo,Portuguese,4
Castro,Portuguese,4
Coelho,Portuguese,4
Costa,Portuguese,4
Crespo,Portuguese,4
Cruz,Portuguese,4
D'cruz,Portuguese,4
D'cruze,Portuguese,4
Delgado,Portuguese,4
De santigo,Portuguese,4
Duarte,Portuguese,4
Estéves,Portuguese,4
Fernandes,Portuguese,4
Ferreira,Portuguese,4
Ferreiro,Portuguese,4
Ferro,Portuguese,4
Fonseca,Portuguese,4
Franco,Portuguese,4
Freitas,Portuguese,4
Garcia,Portuguese,4
Gaspar,Portuguese,4
Gomes,Portuguese,4
Gouveia,Portuguese,4
Guerra,Portuguese,4
Henriques,Portuguese,4
Lobo,Portuguese,4
Machado,Portuguese,4
Madeira,Portuguese,4
Magalhães,Portuguese,4
Maria,Portuguese,4
Mata,Portuguese,4
Mateus,Portuguese,4
Matos,Portuguese,4
Medeiros,Portuguese,4
Melo,Portuguese,4
Mendes,Portuguese,4
Moreno,Portuguese,4
Nunes,Portuguese,4
Palmeiro,Portuguese,4
Paredes,Portuguese,4
Pereira,Portuguese,4
Pinheiro,Portuguese,4
Pinho,Portuguese,4
Ramires,Portuguese,4
Ribeiro,Portuguese,4
Rios,Portuguese,4
Rocha,Portuguese,4
Rodrigues,Portuguese,4
Romão,Portuguese,4
Rosario,Portuguese,4
Salazar,Portuguese,4
Santana,Portuguese,4
Santiago,Portuguese,4
Santos,Portuguese,4
Serafim,Portuguese,4
Silva,Portuguese,4
Silveira,Portuguese,4
Simões,Portuguese,4
Soares,Portuguese,4
Souza,Portuguese,4
Torres,Portuguese,4
Vargas,Portuguese,4
Ventura,Portuguese,4
