name,country,label
Au-Yong,Chinese,3
Bai,Chinese,3
Ban,Chinese,3
Bao,Chinese,3
Bei,Chinese,3
Bian,Chinese,3
Bui,Chinese,3
Cai,Chinese,3
Cao,Chinese,3
Cen,Chinese,3
Chai,Chinese,3
Chaim,Chinese,3
Chan,Chinese,3
Chang,Chinese,3
Chao,Chinese,3
Che,Chinese,3
Chen,Chinese,3
Cheng,Chinese,3
Cheung,Chinese,3
Chew,Chinese,3
Chieu,Chinese,3
Chin,Chinese,3
Chong,Chinese,3
Chou,Chinese,3
Chu,Chinese,3
Cui,Chinese,3
Dai,Chinese,3
Deng,Chinese,3
Ding,Chinese,3
Dong,Chinese,3
Dou,Chinese,3
Duan,Chinese,3
Eng,Chinese,3
Fan,Chinese,3
Fei,Chinese,3
Feng,Chinese,3
Foong,Chinese,3
Fung,Chinese,3
Gan,Chinese,3
Gauk,Chinese,3
Geng,Chinese,3
Gim,Chinese,3
Gok,Chinese,3
Gong,Chinese,3
Guan,Chinese,3
Guang,Chinese,3
Guo,Chinese,3
Gwock,Chinese,3
Han,Chinese,3
Hang,Chinese,3
Hao,Chinese,3
Hew,Chinese,3
Hiu,Chinese,3
Hong,Chinese,3
Hor,Chinese,3
Hsiao,Chinese,3
Hua,Chinese,3
Huan,Chinese,3
Huang,Chinese,3
Hui,Chinese,3
Huie,Chinese,3
Huo,Chinese,3
Jia,Chinese,3
Jiang,Chinese,3
Jin,Chinese,3
Jing,Chinese,3
Joe,Chinese,3
Kang,Chinese,3
Kau,Chinese,3
Khoo,Chinese,3
Khu,Chinese,3
Kong,Chinese,3
Koo,Chinese,3
Kwan,Chinese,3
Kwei,Chinese,3
Kwong,Chinese,3
Lai,Chinese,3
Lam,Chinese,3
Lang,Chinese,3
Lau,Chinese,3
Law,Chinese,3
Lew,Chinese,3
Lian,Chinese,3
Liao,Chinese,3
Lim,Chinese,3
Lin,Chinese,3
Ling,Chinese,3
Liu,Chinese,3
Loh,Chinese,3
Long,Chinese,3
Loong,Chinese,3
Luo,Chinese,3
Mah,Chinese,3
Mai,Chinese,3
Mak,Chinese,3
Mao,Chinese,3
Mar,Chinese,3
Mei,Chinese,3
Meng,Chinese,3
Miao,Chinese,3
Min,Chinese,3
Ming,Chinese,3
Moy,Chinese,3
Mui,Chinese,3
Nie,Chinese,3
Niu,Chinese,3
Ou-Yang,Chinese,3
Ow-Yang,Chinese,3
Pan,Chinese,3
Pang,Chinese,3
Pei,Chinese,3
Peng,Chinese,3
Ping,Chinese,3
Qian,Chinese,3
Qin,Chinese,3
Qiu,Chinese,3
Quan,Chinese,3
Que,Chinese,3
Ran,Chinese,3
Rao,Chinese,3
Rong,Chinese,3
Ruan,Chinese,3
Sam,Chinese,3
Seah,Chinese,3
See ,Chinese,3
Seow,Chinese,3
Seto,Chinese,3
Sha,Chinese,3
Shan,Chinese,3
Shang,Chinese,3
Shao,Chinese,3
Shaw,Chinese,3
She,Chinese,3
Shen,Chinese,3
Sheng,Chinese,3
Shi,Chinese,3
Shu,Chinese,3
Shuai,Chinese,3
Shui,Chinese,3
Shum,Chinese,3
Siew,Chinese,3
Siu,Chinese,3
Song,Chinese,3
Sum,Chinese,3
Sun,Chinese,3
Sze ,Chinese,3
Tan,Chinese,3
Tang,Chinese,3
Tao,Chinese,3
Teng,Chinese,3
Teoh,Chinese,3
Thean,Chinese,3
Thian,Chinese,3
Thien,Chinese,3
Tian,Chinese,3
Tong,Chinese,3
Tow,Chinese,3
Tsang,Chinese,3
Tse,Chinese,3
Tsen,Chinese,3
Tso,Chinese,3
Tze,Chinese,3
Wan,Chinese,3
Wang,Chinese,3
Wei,Chinese,3
Wen,Chinese,3
Weng,Chinese,3
Won,Chinese,3
Wong,Chinese,3
Woo,Chinese,3
Xiang,Chinese,3
Xiao,Chinese,3
Xie,Chinese,3
Xing,Chinese,3
Xue,Chinese,3
Xun,Chinese,3
Yan,Chinese,3
Yang,Chinese,3
Yao,Chinese,3
Yap,Chinese,3
Yau,Chinese,3
Yee,Chinese,3
Yep,Chinese,3
Yim,Chinese,3
Yin,Chinese,3
Ying,Chinese,3
Yong,Chinese,3
You,Chinese,3
Yuan,Chinese,3
Zang,Chinese,3
Zeng,Chinese,3
Zha,Chinese,3
Zhan,Chinese,3
Zhang,Chinese,3
Zhao,Chinese,3
Zhen,Chinese,3
Zheng,Chinese,3
Zhong,Chinese,3
Zhou,Chinese,3
Zhu,Chinese,3
Zhuo,Chinese,3
Zong,Chinese,3
Zou,Chinese,3
Bing,Chinese,3
Chi,Chinese,3
Chu,Chinese,3
Cong,Chinese,3
Cuan,Chinese,3
Dan,Chinese,3
Fei,Chinese,3
Feng,Chinese,3
Gai,Chinese,3
Gao,Chinese,3
Gou,Chinese,3
Guan,Chinese,3
Gui,Chinese,3
Guo,Chinese,3
Hong,Chinese,3
Hou,Chinese,3
Huan,Chinese,3
Jian,Chinese,3
Jiao,Chinese,3
Jin,Chinese,3
Jiu,Chinese,3
Juan,Chinese,3
Jue,Chinese,3
Kan,Chinese,3
Kuai,Chinese,3
Kuang,Chinese,3
Kui,Chinese,3
Lao,Chinese,3
Liang,Chinese,3
Lu:,Chinese,3
Luo,Chinese,3
Man,Chinese,3
Nao,Chinese,3
Pian,Chinese,3
Qiao,Chinese,3
Qing,Chinese,3
Qiu,Chinese,3
Rang,Chinese,3
Rui,Chinese,3
She,Chinese,3
Shi,Chinese,3
Shuo,Chinese,3
Sui,Chinese,3
Tai,Chinese,3
Wan,Chinese,3
Wei,Chinese,3
Xian,Chinese,3
Xie,Chinese,3
Xin,Chinese,3
Xing,Chinese,3
Xiong,Chinese,3
Xuan,Chinese,3
Yan,Chinese,3
Yin,Chinese,3
Ying,Chinese,3
Yuan,Chinese,3
Yue,Chinese,3
Yun,Chinese,3
Zha,Chinese,3
Zhai,Chinese,3
Zhang,Chinese,3
Zhi,Chinese,3
Zhuan,Chinese,3
Zhui,Chinese,3
