name,country,label
Aalst,Dutch,5
Aarle,Dutch,5
Achteren,Dutch,5
Achthoven,Dutch,5
Adrichem,Dutch,5
Aggelen,Dutch,5
Agteren,Dutch,5
Agthoven,Dutch,5
Akkeren,Dutch,5
Aller,Dutch,5
Alphen,Dutch,5
Alst,Dutch,5
Altena,Dutch,5
Althuis,Dutch,5
Amelsvoort,Dutch,5
Amersvoort,Dutch,5
Amstel,Dutch,5
Andel,Dutch,5
Andringa,Dutch,5
Ankeren,Dutch,5
Antwerp,Dutch,5
Antwerpen,Dutch,5
Apeldoorn,Dutch,5
Arendonk,Dutch,5
Asch,Dutch,5
Assen,Dutch,5
Baarle,Dutch,5
Bokhoven,Dutch,5
Breda,Dutch,5
Bueren,Dutch,5
Buggenum,Dutch,5
Buiren,Dutch,5
Buren,Dutch,5
Can,Dutch,5
Cann,Dutch,5
Canne,Dutch,5
Daal,Dutch,5
Daalen,Dutch,5
Dael,Dutch,5
Daele,Dutch,5
Dale,Dutch,5
Dalen,Dutch,5
Laar,Dutch,5
Vliert,Dutch,5
Akker,Dutch,5
Andel,Dutch,5
Denend,Dutch,5
Aart,Dutch,5
Beek,Dutch,5
Berg,Dutch,5
Hout,Dutch,5
Laar,Dutch,5
See,Dutch,5
Stoep,Dutch,5
Veen,Dutch,5
Ven,Dutch,5
Venn,Dutch,5
Venne,Dutch,5
Vennen,Dutch,5
Zee,Dutch,5
Donk,Dutch,5
Haanraads,Dutch,5
Haanraats,Dutch,5
Haanrade,Dutch,5
Haanrath,Dutch,5
Haenraats,Dutch,5
Haenraets,Dutch,5
Hanraets,Dutch,5
Hassel,Dutch,5
Hautem,Dutch,5
Hautum,Dutch,5
Heel,Dutch,5
Herten,Dutch,5
Hofwegen,Dutch,5
Horn,Dutch,5
Hout,Dutch,5
Houte,Dutch,5
Houtem,Dutch,5
Houten,Dutch,5
Houttum,Dutch,5
Houtum,Dutch,5
Kan,Dutch,5
Kann,Dutch,5
Kanne,Dutch,5
Kappel,Dutch,5
Karl,Dutch,5
Kikkert,Dutch,5
Klein,Dutch,5
Klerk,Dutch,5
Klerken,Dutch,5
Klerks,Dutch,5
Klerkse,Dutch,5
Klerkx,Dutch,5
Klerx,Dutch,5
Kloet,Dutch,5
Kloeten,Dutch,5
Kloeter,Dutch,5
Koeman,Dutch,5
Koemans,Dutch,5
Kolen,Dutch,5
Kolijn,Dutch,5
Kollen,Dutch,5
Koning,Dutch,5
Kool,Dutch,5
Koole,Dutch,5
Koolen,Dutch,5
Kools,Dutch,5
Kouman,Dutch,5
Koumans,Dutch,5
Krantz,Dutch,5
Kranz,Dutch,5
Krusen,Dutch,5
Kuijpers,Dutch,5
Kuiper,Dutch,5
Kuipers,Dutch,5
Laar,Dutch,5
Langbroek,Dutch,5
Laren,Dutch,5
Lauwens,Dutch,5
Lauwers,Dutch,5
Leeuwenhoeck,Dutch,5
Leeuwenhoek,Dutch,5
Leeuwenhoek,Dutch,5
Lucas,Dutch,5
Lucassen,Dutch,5
Lyon,Dutch,5
Maas,Dutch,5
Maes,Dutch,5
Maessen,Dutch,5
Marquering,Dutch,5
Marqueringh,Dutch,5
Marquerink,Dutch,5
Mas,Dutch,5
Meeuwe,Dutch,5
Meeuwes,Dutch,5
Meeuwessen,Dutch,5
Meeuweszen,Dutch,5
Meeuwis,Dutch,5
Meeuwissen,Dutch,5
Meeuwsen,Dutch,5
Meisner,Dutch,5
Merckx,Dutch,5
Mertens,Dutch,5
Michel,Dutch,5
Middelburg,Dutch,5
Middlesworth,Dutch,5
Mohren,Dutch,5
Mooren,Dutch,5
Mulder,Dutch,5
Muyskens,Dutch,5
Nagel,Dutch,5
Nelissen,Dutch,5
Nifterick,Dutch,5
Nifterick,Dutch,5
Nifterik,Dutch,5
Nifterik,Dutch,5
Niftrik,Dutch,5
Niftrik,Dutch,5
Offermans,Dutch,5
Ogterop,Dutch,5
Ogtrop,Dutch,5
Oirschot,Dutch,5
Oirschotten,Dutch,5
Oomen,Dutch,5
Oorschot,Dutch,5
Oorschot,Dutch,5
Ophoven,Dutch,5
Otten,Dutch,5
Pander,Dutch,5
Panders,Dutch,5
Paulis,Dutch,5
Paulissen,Dutch,5
Peerenboom,Dutch,5
Peeters,Dutch,5
Peij,Dutch,5
Pender,Dutch,5
Penders,Dutch,5
Pennders,Dutch,5
Penner,Dutch,5
Penners,Dutch,5
Peter,Dutch,5
Peusen,Dutch,5
Pey,Dutch,5
Philips,Dutch,5
Prinsen,Dutch,5
Rademaker,Dutch,5
Rademakers,Dutch,5
Ramaaker,Dutch,5
Ramaker,Dutch,5
Ramakers,Dutch,5
Ramecker,Dutch,5
Rameckers,Dutch,5
Raske,Dutch,5
Reijnder,Dutch,5
Reijnders,Dutch,5
Reinder,Dutch,5
Reinders,Dutch,5
Reynder,Dutch,5
Reynders,Dutch,5
Richard,Dutch,5
Rietveld,Dutch,5
Rijnder,Dutch,5
Rijnders,Dutch,5
Robert,Dutch,5
Roggeveen,Dutch,5
Roijacker,Dutch,5
Roijackers,Dutch,5
Roijakker,Dutch,5
Roijakkers,Dutch,5
Romeijn,Dutch,5
Romeijnders,Dutch,5
Romeijnsen,Dutch,5
Romijn,Dutch,5
Romijnders,Dutch,5
Romijnsen,Dutch,5
Rompa,Dutch,5
Rompa,Dutch,5
Rompaeij,Dutch,5
Rompaey,Dutch,5
Rompaij,Dutch,5
Rompay,Dutch,5
Rompaye,Dutch,5
Rompu,Dutch,5
Rompuy,Dutch,5
Rooiakker,Dutch,5
Rooiakkers,Dutch,5
Rooijakker,Dutch,5
Rooijakkers,Dutch,5
Roosa,Dutch,5
Roosevelt,Dutch,5
Rossem,Dutch,5
Rossum,Dutch,5
Rumpade,Dutch,5
Rutten,Dutch,5
Ryskamp,Dutch,5
Samson,Dutch,5
Sanna,Dutch,5
Schenck,Dutch,5
Schermer,Dutch,5
Schneider,Dutch,5
Schneiders,Dutch,5
Schneijder,Dutch,5
Schneijders,Dutch,5
Schoonenburg,Dutch,5
Schoonraad,Dutch,5
Schoorel,Dutch,5
Schoorel,Dutch,5
Schoorl,Dutch,5
Schorel,Dutch,5
Schrijnemakers,Dutch,5
Schuyler,Dutch,5
Schwarzenberg,Dutch,5
Seeger,Dutch,5
Seegers,Dutch,5
Seelen,Dutch,5
Segers,Dutch,5
Segher,Dutch,5
Seghers,Dutch,5
Severijns,Dutch,5
Severins,Dutch,5
Sevriens,Dutch,5
Silje,Dutch,5
Simon,Dutch,5
Simonis,Dutch,5
Slootmaekers,Dutch,5
Smeets,Dutch,5
Smets,Dutch,5
Smit,Dutch,5
Smits,Dutch,5
Snaaijer,Dutch,5
Snaijer,Dutch,5
Sneiders,Dutch,5
Sneijder,Dutch,5
Sneijders,Dutch,5
Sneijer,Dutch,5
Sneijers,Dutch,5
Snell,Dutch,5
Snider,Dutch,5
Sniders,Dutch,5
Snijder,Dutch,5
Snijders,Dutch,5
Snyder,Dutch,5
Snyders,Dutch,5
Specht,Dutch,5
Spijker,Dutch,5
Spiker,Dutch,5
Ter Avest,Dutch,5
Teunissen,Dutch,5
Theunissen,Dutch,5
Tholberg,Dutch,5
Tillens,Dutch,5
Tunison,Dutch,5
Tunneson,Dutch,5
Vandale,Dutch,5
Vandroogenbroeck,Dutch,5
Vann,Dutch,5
