name,country,label
Abraham,French,1
Adam,French,1
Albert,French,1
Allard,French,1
Archambault,French,1
Armistead,French,1
Arthur,French,1
Augustin,French,1
Babineaux,French,1
Baudin,French,1
Beauchene,French,1
Beaulieu,French,1
Beaumont,French,1
Bélanger,French,1
Bellamy,French,1
Bellerose,French,1
Belrose,French,1
Berger,French,1
Béringer,French,1
Bernard,French,1
Bertrand,French,1
Bisset,French,1
Bissette,French,1
Blaise,French,1
Blanc,French,1
Blanchet,French,1
Blanchett,French,1
Bonfils,French,1
Bonheur,French,1
Bonhomme,French,1
Bonnaire,French,1
Bonnay,French,1
Bonner,French,1
Bonnet,French,1
Borde,French,1
Bordelon,French,1
Bouchard,French,1
Boucher,French,1
Brisbois,French,1
Brodeur,French,1
Bureau,French,1
Caron,French,1
Cavey,French,1
Chaput,French,1
Charbonneau,French,1
Charpentier,French,1
Charron,French,1
Chastain,French,1
Chevalier,French,1
Chevrolet,French,1
Cloutier,French,1
Colbert,French,1
Comtois,French,1
Cornett,French,1
Coté,French,1
Coupe,French,1
Courtemanche,French,1
Cousineau,French,1
Couture,French,1
Daniau,French,1
D'aramitz,French,1
Daviau,French,1
David,French,1
Deforest,French,1
Degarmo,French,1
Delacroix,French,1
De la fontaine,French,1
Deniau,French,1
Deniaud,French,1
Deniel,French,1
Denis,French,1
De sauveterre,French,1
Deschamps,French,1
Descoteaux,French,1
Desjardins,French,1
Desrochers,French,1
Desrosiers,French,1
Dubois,French,1
Duchamps,French,1
Dufort,French,1
Dufour,French,1
Duguay,French,1
Dupond,French,1
Dupont,French,1
Durand,French,1
Durant,French,1
Duval,French,1
Émile,French,1
Eustis,French,1
Fabian,French,1
Fabre,French,1
Fabron,French,1
Faucher,French,1
Faucheux,French,1
Faure,French,1
Favager,French,1
Favre,French,1
Favreau,French,1
Fay,French,1
Félix,French,1
Firmin,French,1
Fontaine,French,1
Forest,French,1
Forestier,French,1
Fortier,French,1
Foss,French,1
Fournier,French,1
Gage,French,1
Gagne,French,1
Gagnier,French,1
Gagnon,French,1
Garcon,French,1
Gardinier,French,1
Germain,French,1
Géroux,French,1
Giles,French,1
Girard,French,1
Giroux,French,1
Glaisyer,French,1
Gosse,French,1
Gosselin,French,1
Granger,French,1
Guérin,French,1
Guillory,French,1
Hardy,French,1
Harman,French,1
Hébert,French,1
Herbert,French,1
Herriot,French,1
Jacques,French,1
Janvier,French,1
Jordan,French,1
Joubert,French,1
Labelle,French,1
Lachance,French,1
Lachapelle,French,1
Lamar,French,1
Lambert,French,1
Lane,French,1
Langlais,French,1
Langlois,French,1
Lapointe,French,1
Larue,French,1
Laurent,French,1
Lavigne,French,1
Lavoie,French,1
Leandres,French,1
Lebeau,French,1
Leblanc,French,1
Leclair,French,1
Leclerc,French,1
Lécuyer,French,1
Lefebvre,French,1
Lefévre,French,1
Lefurgey,French,1
Legrand,French,1
Lemaire,French,1
Lémieux,French,1
Leon,French,1
Leroy,French,1
Lesauvage,French,1
Lestrange,French,1
Lévêque,French,1
Lévesque,French,1
Linville,French,1
Lyon,French,1
Lyon,French,1
Maçon,French,1
Marchand,French,1
Marie,French,1
Marion,French,1
Martel,French,1
Martel,French,1
Martin,French,1
Masson,French,1
Masson,French,1
Mathieu,French,1
Mercier,French,1
Merle,French,1
Michaud,French,1
Michel,French,1
Monet,French,1
Monette,French,1
Montagne,French,1
Moreau,French,1
Moulin,French,1
Mullins,French,1
Noel,French,1
Oliver,French,1
Olivier,French,1
Page,French,1
Paget,French,1
Palomer,French,1
Pan,French,1
Pape,French,1
Paquet,French,1
Paquet,French,1
Parent,French,1
Paris,French,1
Parris,French,1
Pascal,French,1
Patenaude,French,1
Paternoster,French,1
Paul,French,1
Pelletier,French,1
Perrault,French,1
Perreault,French,1
Perrot,French,1
Petit,French,1
Pettigrew,French,1
Pierre,French,1
Plamondon,French,1
Plourde,French,1
Poingdestre,French,1
Poirier,French,1
Porcher,French,1
Poulin,French,1
Proulx,French,1
Renaud,French,1
Rey,French,1
Reyer,French,1
Richard,French,1
Richelieu,French,1
Robert,French,1
Roche,French,1
Rome,French,1
Romilly,French,1
Rose,French,1
Rousseau,French,1
Roux,French,1
Roy,French,1
Royer,French,1
Salomon,French,1
Salvage,French,1
Samson,French,1
Samuel,French,1
Sargent,French,1
Sarkozi,French,1
Sarkozy,French,1
Sartre,French,1
Sault,French,1
Sauvage,French,1
Sauvageau,French,1
Sauvageon,French,1
Sauvageot,French,1
Sauveterre,French,1
Savatier,French,1
Segal,French,1
Sergeant,French,1
Séverin,French,1
Simon,French,1
Solomon,French,1
Soucy,French,1
St martin,French,1
St pierre,French,1
Tailler,French,1
Tasse,French,1
Thayer,French,1
Thibault,French,1
Thomas,French,1
Tobias,French,1
Tolbert,French,1
Traver,French,1
Travere,French,1
Travers,French,1
Traverse,French,1
Travert,French,1
Tremblay,French,1
Tremble,French,1
Victor,French,1
Victors,French,1
Villeneuve,French,1
Vincent,French,1
Vipond,French,1
Voclain,French,1
Yount,French,1
