name,country,label
Abukara,Japanese,6
Adachi,Japanese,6
Aida,Japanese,6
Aihara,Japanese,6
Aizawa,Japanese,6
Ajibana,Japanese,6
Akaike,Japanese,6
Akamatsu,Japanese,6
Akatsuka,Japanese,6
Akechi,Japanese,6
Akera,Japanese,6
Akimoto,Japanese,6
Akita,Japanese,6
Akiyama,Japanese,6
Akutagawa,Japanese,6
Amagawa,Japanese,6
Amaya,Japanese,6
Amori,Japanese,6
Anami,Japanese,6
Ando,Japanese,6
Anzai,Japanese,6
Aoki,Japanese,6
Arai,Japanese,6
Arakawa,Japanese,6
Araki,Japanese,6
Arakida,Japanese,6
Arato,Japanese,6
Arihyoshi,Japanese,6
Arishima,Japanese,6
Arita,Japanese,6
Ariwa,Japanese,6
Ariwara,Japanese,6
Asahara,Japanese,6
Asahi,Japanese,6
Asai,Japanese,6
Asano,Japanese,6
Asanuma,Japanese,6
Asari,Japanese,6
Ashia,Japanese,6
Ashida,Japanese,6
Ashikaga,Japanese,6
Asuhara,Japanese,6
Atshushi,Japanese,6
Ayabito,Japanese,6
Ayugai,Japanese,6
Baba,Japanese,6
Baisotei,Japanese,6
Bando,Japanese,6
Bunya,Japanese,6
Chiba,Japanese,6
Chikamatsu,Japanese,6
Chikanatsu,Japanese,6
Chino,Japanese,6
Chishu,Japanese,6
Choshi,Japanese,6
Daishi,Japanese,6
Dan,Japanese,6
Date,Japanese,6
Dazai,Japanese,6
Deguchi,Japanese,6
Deushi,Japanese,6
Doi,Japanese,6
Ebina,Japanese,6
Ebisawa,Japanese,6
Eda,Japanese,6
Egami,Japanese,6
Eguchi,Japanese,6
Ekiguchi,Japanese,6
Endo,Japanese,6
Endoso,Japanese,6
Enoki,Japanese,6
Enomoto,Japanese,6
Erizawa,Japanese,6
Eto,Japanese,6
Etsuko,Japanese,6
Ezakiya,Japanese,6
Fuchida,Japanese,6
Fugunaga,Japanese,6
Fujikage,Japanese,6
Fujimaki,Japanese,6
Fujimoto,Japanese,6
Fujioka,Japanese,6
Fujishima,Japanese,6
Fujita,Japanese,6
Fujiwara,Japanese,6
Fukao,Japanese,6
Fukayama,Japanese,6
Fukuda,Japanese,6
Fukumitsu,Japanese,6
Fukunaka,Japanese,6
Fukuoka,Japanese,6
Fukusaku,Japanese,6
Fukushima,Japanese,6
Fukuyama,Japanese,6
Fukuzawa,Japanese,6
Fumihiko,Japanese,6
Funabashi,Japanese,6
Funaki,Japanese,6
Funakoshi,Japanese,6
Furusawa,Japanese,6
Fuschida,Japanese,6
Fuse,Japanese,6
Futabatei,Japanese,6
Fuwa,Japanese,6
Gakusha,Japanese,6
Genda,Japanese,6
Genji,Japanese,6
Gensai,Japanese,6
Godo,Japanese,6
Goto,Japanese,6
Gushiken,Japanese,6
Hachirobei,Japanese,6
Haga,Japanese,6
Hagino,Japanese,6
Hagiwara,Japanese,6
Hama,Japanese,6
Hamacho,Japanese,6
Hamada,Japanese,6
Hamaguchi,Japanese,6
