name,country,label
Abel,German,13
Abeln,German,13
Abt,German,13
Achilles,German,13
Achterberg,German,13
Acker,German,13
Ackermann,German,13
Adam,German,13
Adenauer,German,13
Adler,German,13
Adlersflügel,German,13
Aeschelman,German,13
Albert,German,13
Albrecht,German,13
Aleshire,German,13
Aleshite,German,13
Althaus,German,13
Amsel,German,13
Andres,German,13
Armbrüster,German,13
Armbruster,German,13
Artz,German,13
Aue,German,13
Auer,German,13
Augustin,German,13
Aust,German,13
Autenburg,German,13
Auttenberg,German,13
Baasch,German,13
Bach,German,13
Bachmeier,German,13
Bäcker,German,13
Bader,German,13
Bähr,German,13
Bambach,German,13
Bauer,German,13
Bauers,German,13
Baum,German,13
Baumann,German,13
Baumbach,German,13
Baumgärtner,German,13
Baumgartner,German,13
Baumhauer,German,13
Bayer,German,13
Beck,German,13
Becke,German,13
Beckenbauer,German,13
Becker,German,13
Beckert,German,13
Behrend,German,13
Behrends,German,13
Beitel,German,13
Beltz,German,13
Benn,German,13
Berg,German,13
Berger,German,13
Bergfalk,German,13
Beringer,German,13
Bernat,German,13
Best,German,13
Beutel,German,13
Beyer,German,13
Beyersdorf,German,13
Bieber,German,13
Biermann,German,13
Bischoffs,German,13
Blau,German,13
Blecher,German,13
Bleier,German,13
Blumenthal,German,13
Blumstein,German,13
Bocker,German,13
Boehler,German,13
Boer,German,13
Boesch,German,13
Böhler,German,13
Böhm,German,13
Böhme,German,13
Böhmer,German,13
Bohn,German,13
Borchard,German,13
Bösch,German,13
Bosch,German,13
Böttcher,German,13
Brahms,German,13
Brand,German,13
Brandt,German,13
Brant,German,13
Brauer,German,13
Braun,German,13
Braune,German,13
Breiner,German,13
Breisacher,German,13
Breitbarth,German,13
Bretz,German,13
Brinkerhoff,German,13
Brodbeck,German,13
Brose,German,13
Brotz,German,13
Bruhn,German,13
Brun,German,13
Brune,German,13
Buchholz,German,13
Buckholtz,German,13
Buhr,German,13
Bumgarner,German,13
Burgstaller,German,13
Busch,German,13
Carver,German,13
Chevrolet,German,13
Cline,German,13
Dahl,German,13
Denzel,German,13
Derrick,German,13
Diefenbach,German,13
Dieter,German,13
Dietrich,German,13
Dirchs,German,13
Dittmar,German,13
Dohman,German,13
Drechsler,German,13
Dreher,German,13
Dreschner,German,13
Dresdner,German,13
Dressler,German,13
Duerr,German,13
Dunkle,German,13
Dunst,German,13
Dürr,German,13
Eberhardt,German,13
Ebner,German,13
Ebner,German,13
Eckstein,German,13
Egger,German,13
Eichel,German,13
Eilerts,German,13
Engel,German,13
Enns,German,13
Esser,German,13
Essert,German,13
Everhart,German,13
Fabel,German,13
Faerber,German,13
Falk,German,13
Falkenrath,German,13
Färber,German,13
Fashingbauer,German,13
Faust,German,13
Feigenbaum,German,13
Feld,German,13
Feldt,German,13
Fenstermacher,German,13
