name,country,label
Abatangelo,Italian,10
Abatantuono,Italian,10
Abate,Italian,10
Abategiovanni,Italian,10
Abatescianni,Italian,10
Abbà,Italian,10
Abbadelli,Italian,10
Abbascia,Italian,10
Abbatangelo,Italian,10
Abbatantuono,Italian,10
Abbate,Italian,10
Abbatelli,Italian,10
Abbaticchio,Italian,10
Abbiati,Italian,10
Abbracciabene,Italian,10
Abbracciabeni,Italian,10
Abelli,Italian,10
Abelló,Italian,10
Abrami,Italian,10
Abramo,Italian,10
Acardi,Italian,10
Accardi,Italian,10
Accardo,Italian,10
Acciai,Italian,10
Acciaio,Italian,10
Acciaioli,Italian,10
Acconci,Italian,10
Acconcio,Italian,10
Accorsi,Italian,10
Accorso,Italian,10
Accosi,Italian,10
Accursio,Italian,10
Acerbi,Italian,10
Acone,Italian,10
Aconi,Italian,10
Acqua,Italian,10
Acquafredda,Italian,10
Acquarone,Italian,10
Acquati,Italian,10
Adalardi,Italian,10
Adami,Italian,10
Adamo,Italian,10
Adamoli,Italian,10
Addario,Italian,10
Adelardi,Italian,10
Adessi,Italian,10
Adimari,Italian,10
Adriatico,Italian,10
Affini,Italian,10
Africani,Italian,10
Africano,Italian,10
Agani,Italian,10
Aggi,Italian,10
Aggio,Italian,10
Agli,Italian,10
Agnelli,Italian,10
Agnellutti,Italian,10
Agnusdei,Italian,10
Agosti,Italian,10
Agostini,Italian,10
Agresta,Italian,10
Agrioli,Italian,10
Aiello,Italian,10
Aiolfi,Italian,10
Airaldi,Italian,10
Airò,Italian,10
Aita,Italian,10
Ajello,Italian,10
Alagona,Italian,10
Alamanni,Italian,10
Albanesi,Italian,10
Albani,Italian,10
Albano,Italian,10
Alberghi,Italian,10
Alberghini,Italian,10
Alberici,Italian,10
Alberighi,Italian,10
Albero,Italian,10
Albini,Italian,10
Albricci,Italian,10
Albrici,Italian,10
Alcheri,Italian,10
Aldebrandi,Italian,10
Alderisi,Italian,10
Alduino,Italian,10
Alemagna,Italian,10
Aleppo,Italian,10
Alesci,Italian,10
Alescio,Italian,10
Alesi,Italian,10
Alesini,Italian,10
Alesio,Italian,10
Alessandri,Italian,10
Alessi,Italian,10
Alfero,Italian,10
Aliberti,Italian,10
Alinari,Italian,10
Aliprandi,Italian,10
Allegri,Italian,10
Allegro,Italian,10
Alò,Italian,10
Aloia,Italian,10
Aloisi,Italian,10
Altamura,Italian,10
Altimari,Italian,10
Altoviti,Italian,10
Alunni,Italian,10
Amadei,Italian,10
Amadori,Italian,10
Amalberti,Italian,10
Amantea,Italian,10
Amato,Italian,10
Amatore,Italian,10
Ambrogi,Italian,10
Ambrosi,Italian,10
Amello,Italian,10
Amerighi,Italian,10
Amoretto,Italian,10
Angioli,Italian,10
Ansaldi,Italian,10
Anselmetti,Italian,10
Anselmi,Italian,10
Antonelli,Italian,10
Antonini,Italian,10
Antonino,Italian,10
Aquila,Italian,10
Aquino,Italian,10
Arbore,Italian,10
Ardiccioni,Italian,10
Ardizzone,Italian,10
Ardovini,Italian,10
Arena,Italian,10
Aringheri,Italian,10
Arlotti,Italian,10
Armani,Italian,10
Armati,Italian,10
Armonni,Italian,10
Arnolfi,Italian,10
Arnoni,Italian,10
Arrighetti,Italian,10
Arrighi,Italian,10
Arrigucci,Italian,10
Aucciello,Italian,10
Azzarà,Italian,10
Baggi,Italian,10
Baggio,Italian,10
Baglio,Italian,10
Bagni,Italian,10
Bagnoli,Italian,10
Balboni,Italian,10
Baldi,Italian,10
Baldini,Italian,10
Baldinotti,Italian,10
Baldovini,Italian,10
Bandini,Italian,10
Bandoni,Italian,10
Barbieri,Italian,10
Barone,Italian,10
Barsetti,Italian,10
Bartalotti,Italian,10
Bartolomei,Italian,10
Bartolomeo,Italian,10
Barzetti,Italian,10
Basile,Italian,10
Bassanelli,Italian,10
Bassani,Italian,10
Bassi,Italian,10
Basso,Italian,10
Basurto,Italian,10
Battaglia,Italian,10
Bazzoli,Italian,10
Bellandi,Italian,10
Bellandini,Italian,10
Bellincioni,Italian,10
Bellini,Italian,10
Bello,Italian,10
Bellomi,Italian,10
Belloni,Italian,10
Belluomi,Italian,10
Belmonte,Italian,10
Bencivenni,Italian,10
Benedetti,Italian,10
Benenati,Italian,10
