name,country,label
Adamczyk,Polish,12
Andrysiak,Polish,12
Auttenberg,Polish,12
Bartosz,Polish,12
Bernard,Polish,12
Bobienski,Polish,12
Bosko,Polish,12
Broż,Polish,12
Brzezicki,Polish,12
Budny,Polish,12
Bukoski,Polish,12
Bukowski,Polish,12
Chlebek,Polish,12
Chmiel,Polish,12
Czajka,Polish,12
Czajkowski,Polish,12
Dubanowski,Polish,12
Dubicki,Polish,12
Dunajski,Polish,12
Dziedzic,Polish,12
Fabian,Polish,12
Filipek,Polish,12
Filipowski,Polish,12
Gajos,Polish,12
Gniewek,Polish,12
Gomolka,Polish,12
Gomulka,Polish,12
Gorecki,Polish,12
Górka,Polish,12
Górski,Polish,12
Grzeskiewicz,Polish,12
Gwozdek,Polish,12
Jagoda,Polish,12
Janda,Polish,12
Janowski,Polish,12
Jaskolski,Polish,12
Jaskulski,Polish,12
Jedynak,Polish,12
Jelen,Polish,12
Jez,Polish,12
Jordan,Polish,12
Kaczka,Polish,12
Kaluza,Polish,12
Kamiński,Polish,12
Kasprzak,Polish,12
Kava,Polish,12
Kedzierski,Polish,12
Kijek,Polish,12
Klimek,Polish,12
Kosmatka,Polish,12
Kowalczyk,Polish,12
Kowalski,Polish,12
Koziol,Polish,12
Kozlow,Polish,12
Kozlowski,Polish,12
Krakowski,Polish,12
Król,Polish,12
Kumiega,Polish,12
Lawniczak,Polish,12
Lis,Polish,12
Majewski,Polish,12
Malinowski,Polish,12
Maly,Polish,12
Marek,Polish,12
Marszałek,Polish,12
Maslanka,Polish,12
Mencher,Polish,12
Miazga,Polish,12
Michel,Polish,12
Mikolajczak,Polish,12
Mozdzierz,Polish,12
Niemczyk,Polish,12
Niemec,Polish,12
Nosek,Polish,12
Nowak,Polish,12
Pakulski,Polish,12
Pasternack,Polish,12
Pasternak,Polish,12
Paszek,Polish,12
Piatek,Polish,12
Piontek,Polish,12
Pokorny,Polish,12
Poplawski,Polish,12
Róg,Polish,12
Rudaski,Polish,12
Rudawski,Polish,12
Rusnak,Polish,12
Rutkowski,Polish,12
Sadowski,Polish,12
Salomon,Polish,12
Serafin,Polish,12
Sienkiewicz,Polish,12
Sierzant,Polish,12
Sitko,Polish,12
Skala,Polish,12
Slaski,Polish,12
Ślązak,Polish,12
Ślusarczyk,Polish,12
Ślusarski,Polish,12
Smolák,Polish,12
Sniegowski,Polish,12
Sobol,Polish,12
Sokal,Polish,12
Sokolof,Polish,12
Sokoloff,Polish,12
Sokolofsky,Polish,12
Sokolowski,Polish,12
Sokolsky,Polish,12
Sówka,Polish,12
Stanek,Polish,12
Starek,Polish,12
Stawski,Polish,12
Stolarz,Polish,12
Szczepanski,Polish,12
Szewc,Polish,12
Szwarc,Polish,12
Szweda,Polish,12
Szwedko,Polish,12
Walentowicz,Polish,12
Warszawski,Polish,12
Wawrzaszek,Polish,12
Wiater,Polish,12
Winograd,Polish,12
Winogrodzki,Polish,12
Wojda,Polish,12
Wojewódka,Polish,12
Wojewódzki,Polish,12
Wronski,Polish,12
Wyrick,Polish,12
Wyrzyk,Polish,12
Zabek,Polish,12
Zawisza,Polish,12
Zdunowski,Polish,12
Zdunowski,Polish,12
Zielinski,Polish,12
Ziemniak,Polish,12
Zientek,Polish,12
Żuraw,Polish,12
