name,country,label
Abano,Spanish,14
Abarca,Spanish,14
Abaroa,Spanish,14
Abascal,Spanish,14
Abasolo,Spanish,14
Abel,Spanish,14
Abelló,Spanish,14
Aberquero,Spanish,14
Abreu,Spanish,14
Acosta,Spanish,14
Agramunt,Spanish,14
Aiza,Spanish,14
Alamilla,Spanish,14
Albert,Spanish,14
Albuquerque,Spanish,14
Aldana,Spanish,14
Alfaro,Spanish,14
Alvarado,Spanish,14
Álvarez,Spanish,14
Alves,Spanish,14
Amador,Spanish,14
Andreu,Spanish,14
Antúnez,Spanish,14
Aqua,Spanish,14
Aquino,Spanish,14
Araújo,Spanish,14
Araullo,Spanish,14
Araya,Spanish,14
Arce,Spanish,14
Arechavaleta,Spanish,14
Arena,Spanish,14
Aritza,Spanish,14
Armando,Spanish,14
Arreola,Spanish,14
Arriola,Spanish,14
Asis,Spanish,14
Asturias,Spanish,14
Avana,Spanish,14
Azarola,Spanish,14
Banderas,Spanish,14
Barros,Spanish,14
Basurto,Spanish,14
Bautista,Spanish,14
Bello,Spanish,14
Belmonte,Spanish,14
Bengochea,Spanish,14
Benitez,Spanish,14
Bermúdez,Spanish,14
Blanco,Spanish,14
Blanxart,Spanish,14
Bolívar,Spanish,14
Bonaventura,Spanish,14
Bosque,Spanish,14
Bustillo,Spanish,14
Busto,Spanish,14
Bustos,Spanish,14
Cabello,Spanish,14
Cabrera,Spanish,14
Campo,Spanish,14
Campos,Spanish,14
Capello,Spanish,14
Cardona,Spanish,14
Caro,Spanish,14
Casales,Spanish,14
Castell,Spanish,14
Castellano,Spanish,14
Castillion,Spanish,14
Castillo,Spanish,14
Castro,Spanish,14
Chavarría,Spanish,14
Chavez,Spanish,14
Colón,Spanish,14
Costa,Spanish,14
Crespo,Spanish,14
Cruz,Spanish,14
Cuéllar,Spanish,14
Cuevas,Spanish,14
D'cruz,Spanish,14
D'cruze,Spanish,14
De la cruz,Spanish,14
De la fuente,Spanish,14
Del bosque,Spanish,14
De leon,Spanish,14
Delgado,Spanish,14
Del olmo,Spanish,14
De santigo,Spanish,14
Díaz,Spanish,14
Dominguez,Spanish,14
Duarte,Spanish,14
Durante,Spanish,14
Echevarría,Spanish,14
Echeverría,Spanish,14
Elizondo,Spanish,14
Escamilla,Spanish,14
Escárcega,Spanish,14
